,Inhibitory Neurons,Excitatory Neurons,OPCs,Astrocytes,Vascular Cells,Neural Stem Cells,Microglia,CD8+ T Cells,Regulatory T Cells ,Exhausted T Cells ,Tumor-Associated Macrophages,Glioblastoma (Cancer cells),Glioblastoma (TME)
0,-0.03730794730866223,0.08865969190683026,0.2767527564537986,0.1843566158432081,-0.10437231229094562,0.08579129121541852,-0.1414844118151322,0.32111281420701904,-0.018844997747075435,-0.02608491617276687,-0.16310434924766135,-0.014578483011014132,0.1920025503021451
1,-0.04008858195002721,-0.41533480331682576,-0.7908971503860862,-1.3426503662008968,2.1149393063884983,-0.28643413536994256,-0.23189616966949045,0.17913543571168483,-0.08199760036230073,0.22064294477413446,0.10894262821812495,-0.47394788343432265,-0.10670585493419277
2,-0.001353552397304834,-0.15464752394443457,-0.00874159750125768,0.019140075846611086,-0.14109628137393837,-0.13297247429567868,0.3827596271763899,-0.02444665642022275,-0.00358123070577909,0.04664423116764921,0.20771255396537344,-0.23156513820235644,0.31103144364640867
3,-0.003255426913922756,-0.0746381255943232,-0.05055059150219345,-0.09261820841577184,0.8220959763312087,-0.10556351388970088,-0.11288088818799737,0.0572945598859871,-0.009143082513608562,0.04530407537465738,-0.013116828530201454,-0.1240722693579415,-0.06456309370558784
4,0.019123158948405234,-0.05532598858028153,0.11712273412023287,-0.322839150471253,-0.054946613130164544,-0.05975072436900969,-0.030597945324055374,-0.005378488346499822,0.007813573155482752,-0.03390422598465758,-0.03898078369087127,0.0699222666506668,-0.02472793710152625
5,0.0031597967539928285,-0.18020095822349813,0.015366161371322807,-0.3173054175460169,-0.17323473230410194,-0.1850641298641507,0.12495896195356287,-0.0033178676426115668,0.023954522862311183,-0.05981666430541207,0.055922065777675375,-0.1174556383745948,0.15007715612259315
6,0.014646922334103684,0.03740189346356222,-0.14611841828441458,0.28190689181249273,-0.02889181046020307,0.060881718103701125,-0.050769507377366,-0.02181618868695626,0.0031787321084715075,-0.03178106366288995,-0.04456528872763437,0.035024134904347914,-0.06526062976728308
7,-1.1481830525061236e-05,0.06515149374095669,0.13473082945286463,0.11950348437136024,-0.12207185631957766,0.077604947462299,-0.1387762347743305,-0.01468819895525448,0.011118043837102212,-0.04602242486569519,-0.10498772068361151,0.14080674264786228,-0.14711832012840848
8,0.017072712337368637,-0.004438016271421575,-0.1872604308684941,-0.27922176263917253,0.012849512990915819,-0.18099620660162627,0.04189726688413783,-0.010152822332637293,-0.006559222547860582,0.021586827294502318,0.05716625413806221,0.1297599472059827,0.009591224800562811
9,0.008186392175946694,0.1637463134372979,-0.19915448714255116,0.12583313259267231,-0.10668883306338622,0.13385697365722943,-0.12428334380420808,-0.018387495458495492,-0.0020009807567268226,-0.014002221685320455,-0.04172614541289951,0.40111970074988934,-0.08824412258853111
10,0.009310054207955951,0.10727362262130231,0.08803810502114492,0.19357344992025022,-0.06446140060167188,0.10012610432910274,-0.11283679375145077,-0.01765003066102506,0.007103307522940293,-0.038352659134089515,-0.11567727170159288,0.006175321115294737,-0.11871313195013357
11,-0.001497674371774002,0.13498035493653926,-0.27428254386857925,0.05353146293570432,-0.1562794461695508,-0.0015039117600282,-0.1868741166545725,-0.044975240385005145,0.0018466033102506403,-0.0944249973471429,-0.12078247766543165,0.11104390659423735,-0.1661502353489161
12,0.004659003237177943,0.05546664377596621,0.6533049816050142,0.34977164975379327,-0.06443500326817866,0.1792087443897918,-0.091150511931119,-0.0014671797238488317,0.009364963137051483,0.008313955077317517,-0.1114978595555091,-0.0743026623971875,-0.10807867850537901
13,0.002503459913133758,0.19924009518149088,0.24653215707451095,0.2342921974403806,-0.13204251192820896,0.18117033542951033,-0.17844190157725018,-0.012428487064553548,0.008981938671542188,-0.0011492846960732919,-0.13606435284512258,0.10574201438041543,-0.1528386460998939
14,-0.0019217045064784536,0.10156225974383114,0.3145932833897733,0.10221815954588422,-0.098237680631099,0.019112379641757167,-0.1800806266447173,0.00015473709023321115,0.02236804758518351,-0.050056073830508474,-0.18539284812523021,-0.13803282883567264,-0.19464607959329241
15,-0.0030754440512155475,0.23919733480418562,-0.2207025787865636,0.0021001320859123447,-0.21414320289830258,0.17422213888737295,-0.19020257892699316,-0.020298457960796094,0.0010955772408010613,-0.01401576761530008,-0.04789899718872453,0.39522234411414836,-0.07625774453352673
16,0.014084597632179239,-0.006182065786636278,0.40376041573559823,0.2301785514766954,0.01943366132185633,0.16000639947609296,0.006648867351724649,-0.0015855466765028014,-0.0054989286017372305,0.01565487451020942,-0.028359273613781884,-0.02012950465178189,-0.03458650286647051
17,0.015595775920052398,0.07321647904744007,0.2821167313305287,0.4726561575122091,-0.010801885350166863,0.21926318783482548,-0.02783736780404294,-0.008744106677607954,0.0019938066891980757,0.014488579932800593,-0.039923788856010806,0.06263751800654173,-0.04601914006061801
18,-0.01638745413267964,-0.6449820837053832,-0.5983897143240544,-0.5082380642573394,-0.4269822650677821,-0.6606391694998408,1.2037944666340061,-0.0958688371921169,-0.0011917226068670914,0.09627300826452845,0.7578237100331742,-0.7248277046040907,0.7199680748237425
19,-0.5022868688833305,-0.5280049770996736,-0.6444554629670944,-1.1716109227885767,0.05414520272587447,-0.5509617215056618,0.21551963655392234,2.605214471474144,-0.28804125342484393,0.17679686144196483,-0.09437689556874441,-0.3080445410723928,2.6106966626120562
