Cluster,N_Cells,cell_type,cell_type_score,cell_type_genes,cell_type_2nd,cell_type_2nd_score,cell_type_2nd_genes,cell_type_3rd,cell_type_3rd_score,cell_type_3rd_genes,cell_state,cell_state_score,cell_state_genes,cell_state_2nd,cell_state_2nd_score,cell_state_2nd_genes,cell_state_3rd,cell_state_3rd_score,cell_state_3rd_genes,cell_pathway,cell_pathway_score,cell_pathway_genes,cell_pathway_2nd,cell_pathway_2nd_score,cell_pathway_2nd_genes,cell_pathway_3rd,cell_pathway_3rd_score,cell_pathway_3rd_genes
17,2689,pyramidal neuron,0.513,"Slc17a7, Lingo1, Fbxw7",glutamatergic neuron,0.507,"Slc17a7, Stx1a, Sh3gl2",L6b glutamatergic cortical neuron,0.486,"Slc17a7, Epha5, Prkcg",Unclassified,-0.021,,Migration,-0.046,"Cd44, Mmp2",Angiogenesis,-0.100,"Bhlhe40, Vegfa",CCK,0.684,Cckbr,SOMATOSTATIN,0.372,"Sstr4, Sstr2, Sstr3",SLITRK,0.369,"Slitrk1, Slitrk3"
18,2996,cerebral cortex GABAergic interneuron,0.498,"Kcnc2, Cit, Nrip3",cerebellar granule cell,0.355,"Patj, Grm1, Rora",granule cell,0.329,"Patj, Grm1, Rora",Angiogenesis,0.201,"Bhlhe40, Vegfa",Migration,0.015,"Cd44, Mmp2",Proliferation,-0.067,"Cdk6, Top2a, Mki67",PROCR,1.069,F2r,FLT3,0.886,Flt3,Cholesterol,0.844,"Rora, Rorc"
19,992,respiratory goblet cell,2.027,F3,basal cell of epithelium of trachea,2.027,F3,tracheal goblet cell,2.027,F3,Angiogenesis,1.191,"Vegfa, Bhlhe40",Migration,0.026,"Cd44, Mmp2",Proliferation,-0.036,"Myc, Mki67, Top2a",PSAP,1.770,Gpr37l1,PMCH,1.762,Mertk,EPGN,1.317,Egfr
20,4149,inhibitory interneuron,0.677,"Slc32a1, Gad1, Gad2",cortical interneuron,0.669,"Slc32a1, Gad1, Gad2",interneuron,0.656,"Slc32a1, Gad1, Gad2",Unclassified,-0.057,,Migration,-0.079,"Cd44, Mmp2",Angiogenesis,-0.252,"Vegfa, Bhlhe40",OPIOID,0.540,"Pnoc, Oprd1, Oprm1",PACAP,0.467,Adcyap1r1,FLT3,0.443,Flt3
21,1615,kidney afferent arteriole endothelial cell,1.993,"Pecam1, Id1, Epas1",endothelial cell,1.852,"Abcb1a, Flt1, Sox18",endothelial stalk cell,1.701,"Abcb1a, Flt1, Adgrf5",Hypoxia,2.588,"Pecam1, Kdr",Proliferation,-0.033,"Cdk6, Top2a, Mki67",Migration,-0.072,"Cd44, Mmp2",ESAM,2.868,Esam,CDH5,2.750,Cdh5,OCLN,1.995,Ocln
22,299,meis2 expressing cortical GABAergic cell,0.610,"Pbx3, Meis2, Gad1",medium spiny neuron,0.546,"Pbx3, Meis2, Foxp2",sst chodl GABAergic cortical interneuron,0.478,"Slc32a1, Gad1, Gad2",Unclassified,0.005,,Proliferation,-0.069,"Myc, Mki67, Top2a",Angiogenesis,-0.185,"Bhlhe40, Vegfa",NPVF,1.983,Npffr2,NPFF,1.983,Npffr2,ADGRL,0.570,"Tenm1, Tenm4, Adgrl3"
23,4662,oligodendrocyte,1.473,"Mog, Mag, Ugt8a",glial cell,0.908,"Mog, Mag, Ugt8a",macroglial cell,0.862,"Mog, Mag, Ugt8a",Unclassified,-0.014,,Proliferation,-0.048,"Mki67, Top2a, Myc",Hypoxia,-0.191,"Kdr, Pecam1",MAG,2.463,Mag,VISTA,0.768,Igsf11,GRN,0.738,Sort1
24,1661,hippocampal neuron,1.241,"Prox1, Epha7, Rfx3",pyramidal neuron,0.449,"Ptk2b, Camk2b, Grin2a",neural cell,0.410,"Ryr2, Grin2a, Prkce",Unclassified,0.021,,Migration,-0.067,"Cd44, Mmp2",Angiogenesis,-0.186,"Bhlhe40, Vegfa",Desoxycorticosterone,1.205,Nr3c2,EPO,0.616,Epor,PACAP,0.607,Adcyap1r1
25,165,oligodendrocyte,0.886,"Mag, Mog, Ugt8a",medium spiny neuron,0.574,"Rgs9, Pde10a, Gnal",glial cell,0.508,"Mag, Mog, Ugt8a",Unclassified,-0.026,,Proliferation,-0.031,"Top2a, Mki67, Cdk6",Angiogenesis,-0.245,"Bhlhe40, Vegfa",MAG,1.767,Mag,MHC-II,1.348,Cd4,IL16,1.348,Cd4
26,5500,glutamatergic neuron,0.743,"Stx1a, Slc17a7, Vxn",L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,0.737,"Stx1a, Slc17a7, Egr3",pyramidal neuron,0.691,"Slc17a7, Vxn, Lingo1",Unclassified,-0.016,,Angiogenesis,-0.049,"Bhlhe40, Vegfa",Migration,-0.058,"Cd44, Mmp2",CCK,1.195,Cckbr,SLITRK,0.469,"Slitrk1, Slitrk3",SOMATOSTATIN,0.329,"Sstr4, Sstr3, Sstr2"
27,297,respiratory goblet cell,1.953,F3,tracheal goblet cell,1.953,F3,respiratory basal cell,1.953,F3,Angiogenesis,0.919,"Vegfa, Bhlhe40",Migration,-0.050,"Cd44, Mmp2",Proliferation,-0.081,"Top2a, Mki67, Myc",PSAP,1.868,Gpr37l1,EPGN,1.221,Egfr,PMCH,0.940,Mertk
28,777,hippocampal neuron,0.750,"St6galnac5, Galnt17, Epha7",pyramidal neuron,0.695,"Grin2a, Dkk3, Ptk2b",glutamatergic neuron,0.584,"Grin2a, Epha4, Frrs1l",Unclassified,-0.033,,Migration,-0.036,"Mmp2, Cd44",Angiogenesis,-0.075,"Bhlhe40, Vegfa",Desoxycorticosterone,1.048,Nr3c2,EPHA,0.751,"Epha7, Epha4, Epha5",Testosterone,0.678,Ar
29,1108,kidney afferent arteriole endothelial cell,2.174,"Eln, Pecam1, Epas1",neuroendocrine cell,1.306,"Tagln, Myh11, Des",vascular leptomeningeal cell (Mmus),1.303,"Cyp1b1, Vtn, Lama1",Hypoxia,1.444,"Pecam1, Kdr",Proliferation,-0.013,"Cdk6, Myc, Mki67",Migration,-0.036,"Mmp2, Cd44",CD46,2.012,Jag1,CDH5,1.995,Cdh5,ESAM,1.699,Esam
30,1781,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron,0.804,"Nptxr, Stx1a, Egr3",glutamatergic neuron,0.778,"Nptxr, Stx1a, Lingo1",L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,0.759,"Nptxr, Stx1a, Fstl4",Unclassified,0.087,,Proliferation,-0.010,"Cdk6, Mki67, Top2a",Migration,-0.061,"Cd44, Mmp2",CCK,1.193,Cckbr,HGF,0.682,Met,SLITRK,0.576,"Slitrk1, Slitrk3"
31,435,oligodendrocyte,0.987,"Mag, Mog, Ugt8a",glial cell,0.564,"Mag, Mog, Ugt8a",macroglial cell,0.534,"Mag, Mog, Ugt8a",Unclassified,0.013,,Proliferation,-0.049,"Top2a, Cdk6, Mki67",Angiogenesis,-0.084,"Bhlhe40, Vegfa",MAG,1.980,Mag,Cholesterol,0.621,"Rora, Rorc",IAPP,0.538,"Ramp3, Calcr, Calcrl"
32,2100,medium spiny neuron,1.182,"Rgs9, Pde10a, Rarb",neuron,0.489,"Pde10a, Camk4, Gabrb3",L5 extratelencephalic projecting glutamatergic cortical neuron,0.396,"Camk4, Ryr3, Camkv",Unclassified,0.029,,Migration,-0.062,"Cd44, Mmp2",Angiogenesis,-0.238,"Bhlhe40, Vegfa",MHC-II,2.957,Cd4,IL16,2.957,Cd4,Adenosine,0.837,"Adora2a, Adora1, Adora2b"
