gene,cell_type
Dab2,columnar/cuboidal epithelial cell
Dab2,kidney epithelial cell
Dab2,kidney cortex tubule cell
Dab2,epithelial cell of nephron
Dab2,kidney loop of Henle thin descending limb epithelial cell
Dab2,kidney cell
Dach1,kidney glomerular epithelial cell
Dach1,podocyte
Dach1,kidney connecting tubule epithelial cell
Dach1,Purkinje cell
Dach1,Cajal-Retzius cell
Dag1,ciliated cell of the bronchus
Dag1,Sertoli cell
Dag1,type I pneumocyte
Dag1,bronchial epithelial cell
Dagla,Purkinje cell
Dao,ciliated epithelial cell
Dao,epithelial cell of proximal tubule
Dao,kidney proximal convoluted tubule epithelial cell
Dao,kidney proximal straight tubule epithelial cell
Dao,columnar/cuboidal epithelial cell
Dao,kidney epithelial cell
Dao,kidney cortex tubule cell
Dao,epithelial cell of nephron
Dao,astrocyte of the cerebellum
Dao,kidney cell
Dbn1,skeletal muscle fiber
Dbn1,cell of skeletal muscle
Dbn1,mesenchymal cell
Dbnl,macrophage dendritic cell progenitor
Dbp,pulmonary interstitial fibroblast
Dbp,mesangial cell
Dcc,neuron associated cell (sensu Vertebrata)
Dcc,oligodendrocyte precursor cell
Dcc,medium spiny neuron
Dcc,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Dct,fenestrated cell
Dct,glomerular endothelial cell
Ddc,epithelial cell
Ddc,pancreatic endocrine cell
Ddc,type B pancreatic cell
Ddc,pancreatic A cell
Ddc,glandular epithelial cell
Ddc,enteroendocrine cell
Ddc,endocrine cell
Ddit3,pancreatic endocrine cell
Ddit3,type B pancreatic cell
Ddit3,glandular epithelial cell
Ddit3,enteroendocrine cell
Ddit3,endocrine cell
Ddit4,kidney cortex artery cell
Ddit4,non-classical monocyte
Ddr1,ependymal cell
Ddr1,hypendymal cell
Ddx21,skeletal muscle satellite cell
Ddx21,muscle precursor cell
Def6,T cell
Def6,immature T cell
Def6,thymocyte
Def6,DN3 thymocyte
Dek,megakaryocyte-erythroid progenitor cell
Dek,promonocyte
Dek,erythroblast
Dek,hematopoietic precursor cell
Dek,myeloid lineage restricted progenitor cell
Dek,granulocytopoietic cell
Des,neuroendocrine cell
Des,muscle cell
Des,cardiac muscle cell
Des,smooth muscle cell
Des,vascular associated smooth muscle cell
Des,aortic smooth muscle cell
Des,smooth muscle cell of trachea
Des,smooth muscle cell of prostate
Des,cell of skeletal muscle
Des,skeletal muscle satellite cell
Des,muscle precursor cell
Dgat1,hematopoietic stem cell
Dgat1,blood cell
Dgat1,granulocyte
Dgat1,neutrophil
Dgka,double negative thymocyte
Dgka,DN4 thymocyte
Dgkg,sst GABAergic cortical interneuron
Dgkg,sst chodl GABAergic cortical interneuron
Dgkg,Purkinje cell
Dhh,duct epithelial cell
Diablo,Cajal-Retzius cell
Diaph1,CD141-positive myeloid dendritic cell
Dio1,epithelial cell
Diras1,interneuron
Diras1,cortical interneuron
Diras1,inhibitory interneuron
Diras1,GABAergic neuron
Disp2,sst GABAergic cortical interneuron
Disp2,sst chodl GABAergic cortical interneuron
Dkk2,kidney efferent arteriole endothelial cell
Dkk2,kidney capillary endothelial cell
Dkk2,fenestrated cell
Dkk2,glomerular endothelial cell
Dkk2,kidney cortex artery cell
Dkk2,mesangial cell
Dkk3,pyramidal neuron
Dkk3,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Dkk3,corticothalamic-projecting glutamatergic cortical neuron
Dkk3,L6 corticothalamic-projecting glutamatergic cortical neuron
Dlg4,L5 extratelencephalic projecting glutamatergic cortical neuron
Dlgap4,L5 extratelencephalic projecting glutamatergic cortical neuron
Dlk1,mesothelial cell
Dlk1,mesothelial cell of pleura
Dlk1,mesothelial cell of visceral pleura
Dlk1,epithelial cell of lung
Dlk1,type II pneumocyte
Dlk1,skeletal muscle fiber
Dlk1,stromal cell
Dlk1,stromal cell of ovary
Dlk1,interstitial cell of ovary
Dlk1,mesenchymal cell
Dlk1,lung secretory cell
Dll4,kidney efferent arteriole endothelial cell
Dll4,smooth muscle cell of the pulmonary artery
Dlx1,vip GABAergic cortical interneuron
Dmd,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Dmd,Purkinje cell
Dmd,glutamatergic neuron
Dmd,corticothalamic-projecting glutamatergic cortical neuron
Dmd,L6 corticothalamic-projecting glutamatergic cortical neuron
Dmrt2,muscle cell
Dmrt2,cell of skeletal muscle
Dnah11,kidney loop of Henle medullary thick ascending limb epithelial cell
Dnah12,ependymal cell
Dnajb6,hematopoietic stem cell
Dnajc5,cerebral cortex GABAergic interneuron
Dnajc7,plasmacytoid dendritic cell
Dnajc7,DN3 thymocyte
Dnajc7,B cell
Dnajc7,precursor B cell
Dnajc7,late pro-B cell
Dnajc7,macrophage dendritic cell progenitor
Dner,interneuron
Dner,cortical interneuron
Dner,cerebral cortex GABAergic interneuron
Dner,lamp5 GABAergic cortical interneuron
Dner,sncg GABAergic cortical interneuron
Dner,vip GABAergic cortical interneuron
Dner,pvalb GABAergic cortical interneuron
Dner,cerebellar Golgi cell
Dner,inhibitory interneuron
Dner,Purkinje cell
Dner,GABAergic neuron
Dnm1,glutamatergic neuron
Dnmt1,immature alpha-beta T cell
Dnmt1,immature NK T cell
Dnmt3l,urothelial cell
Dnmt3l,bladder urothelial cell
Dnmt3l,basal cell of prostate epithelium
Dnmt3l,bladder cell
Dock2,phagocyte
Dock2,macrophage
Dock2,tissue-resident macrophage
Dock2,central nervous system macrophage
Dock2,microglial cell
Dock2,leukocyte
Dock2,professional antigen presenting cell
Dock2,myeloid leukocyte
Dock3,neural cell
Dock3,neuron
Dock5,kidney glomerular epithelial cell
Dock5,podocyte
Dock5,leptomeningeal cell
Dock8,kidney loop of Henle ascending limb epithelial cell
Dock8,kidney loop of Henle cortical thick ascending limb epithelial cell
Dock8,kidney loop of Henle thin ascending limb epithelial cell
Dock8,phagocyte
Dock8,macrophage
Dock8,professional antigen presenting cell
Dpf3,granule cell
Dpf3,cerebellar granule cell
Dpp4,endothelial cell of sinusoid
Dpp4,endothelial cell of hepatic sinusoid
Dpp4,kidney glomerular epithelial cell
Dpp4,podocyte
Dpy30,naive T cell
Dpyd,neuron associated cell (sensu Vertebrata)
Dpyd,oligodendrocyte precursor cell
Dpysl2,cerebral cortex GABAergic interneuron
Dpysl3,hypendymal cell
Dpysl3,erythrocyte
Dpysl3,vascular leptomeningeal cell
Dpysl3,mesothelial fibroblast
Dpysl3,neural progenitor cell
Dsc3,stem cell
Dsc3,keratinocyte stem cell
Dsc3,basal cell
Dsc3,basal cell of epidermis
Dsc3,stem cell of epidermis
Dsc3,squamous epithelial cell
Dsc3,keratinocyte
Dsc3,stratified epithelial cell
Dsc3,epidermal cell
Dscam,neuron associated cell (sensu Vertebrata)
Dscam,oligodendrocyte precursor cell
Dscam,meis2 expressing cortical GABAergic cell
Dscaml1,neuron associated cell (sensu Vertebrata)
Dscaml1,oligodendrocyte precursor cell
Dscaml1,oligodendrocyte
Dsg1a,stem cell
Dsg1a,squamous epithelial cell
Dsg1a,keratinocyte
Dsg1a,stratified epithelial cell
Dsg1a,epidermal cell
Dsg2,duct epithelial cell
Dsg2,pancreatic ductal cell
Dsp,keratinocyte stem cell
Dsp,basal cell
Dsp,basal cell of epidermis
Dsp,stem cell of epidermis
Dsp,keratinocyte
Dsp,stratified epithelial cell
Dsp,epidermal cell
Dusp1,mesenchymal stem cell of adipose tissue
Dusp1,kidney cortex artery cell
Dusp1,non-classical monocyte
Dusp5,pancreatic ductal cell
Dusp5,CD1c-positive myeloid dendritic cell
Dut,immature alpha-beta T cell
Dut,immature NK T cell
Dut,naive T cell
Dut,megakaryocyte-erythroid progenitor cell
Dync1i1,Cajal-Retzius cell
Dync1i1,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Dync2h1,ependymal cell
Dysf,glomerular endothelial cell
E2f2,basophil
E2f2,immature T cell
E2f2,thymocyte
E2f2,immature B cell
E2f2,erythroid lineage cell
E2f2,granulocytopoietic cell
E2f4,erythroblast
Ebf3,Cajal-Retzius cell
Ece1,vein endothelial cell
Ece1,endocardial cell
Ece1,smooth muscle cell of the pulmonary artery
Echs1,Leydig cell
Eci3,brush cell
Ecscr,blood vessel endothelial cell
Ecscr,vein endothelial cell
Ecscr,vasa recta descending limb cell
Ecscr,endothelial cell of coronary artery
Ecscr,endothelial cell of artery
Ecscr,capillary endothelial cell
Ecscr,endothelial cell
Ecscr,endothelial cell of vascular tree
Ecscr,endothelial cell of lymphatic vessel
Ecscr,cardiac endothelial cell
Ecscr,endocardial cell
Ecscr,kidney cortex artery cell
Ecscr,smooth muscle cell of the pulmonary artery
Ecscr,tracheobronchial smooth muscle cell
Ecscr,bronchial smooth muscle cell
Edil3,oligodendrocyte
Edn1,kidney efferent arteriole endothelial cell
Edn1,smooth muscle cell of the pulmonary artery
Edn3,epithelial cell of lung
Edn3,epithelial cell of alveolus of lung
Edn3,pneumocyte
Edn3,type I pneumocyte
Edn3,vascular leptomeningeal cell (Mmus)
Ednra,vascular leptomeningeal cell
Ednra,mesothelial fibroblast
Ednra,stromal cell of ovary
Ednra,interstitial cell of ovary
Ednra,pericyte
Ednra,mural cell
Ednrb,glioblast
Ednrb,endocardial cell
Ednrb,muscle cell
Ednrb,smooth muscle cell
Ednrb,vascular associated smooth muscle cell
Ednrb,aortic smooth muscle cell
Ednrb,hepatic stellate cell
Efemp1,mesenchymal stem cell of adipose tissue
Efemp1,mesothelial cell of pleura
Efemp1,mesothelial cell of visceral pleura
Efemp1,connective tissue cell
Efemp1,fibroblast
Efemp1,fibroblast of lung
Efemp1,fibroblast of connective tissue of prostate
Efemp1,stromal cell
Efemp1,adventitial cell
Efna1,kidney efferent arteriole endothelial cell
Efna1,type I pneumocyte
Efna1,smooth muscle cell of the pulmonary artery
Efna5,kidney loop of Henle medullary thick ascending limb epithelial cell
Efna5,cerebellar Golgi cell
Efnb1,tracheobronchial smooth muscle cell
Efnb1,bronchial smooth muscle cell
Efnb2,kidney capillary endothelial cell
Efnb2,smooth muscle cell of the pulmonary artery
Efnb2,pulmonary interstitial fibroblast
Efnb3,hypendymal cell
Egfl7,blood vessel endothelial cell
Egfl7,vein endothelial cell
Egfl7,vasa recta descending limb cell
Egfl7,endothelial cell of coronary artery
Egfl7,kidney efferent arteriole endothelial cell
Egfl7,endothelial cell of artery
Egfl7,kidney capillary endothelial cell
Egfl7,capillary endothelial cell
Egfl7,fenestrated cell
Egfl7,glomerular endothelial cell
Egfl7,endothelial cell
Egfl7,endothelial cell of vascular tree
Egfl7,endothelial cell of sinusoid
Egfl7,endothelial cell of hepatic sinusoid
Egfl7,cardiac endothelial cell
Egfl7,smooth muscle cell of the pulmonary artery
Egfl7,tracheobronchial smooth muscle cell
Egfl7,bronchial smooth muscle cell
Egfr,leptomeningeal cell
Egr1,mesenchymal stem cell of adipose tissue
Egr1,pancreatic ductal cell
Egr1,pulmonary interstitial fibroblast
Egr2,basal epithelial cell of tracheobronchial tree
Egr3,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron
Egr3,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Ehd4,blood vessel endothelial cell
Ehd4,vein endothelial cell
Ehd4,vasa recta descending limb cell
Ehd4,endothelial cell of artery
Ehd4,kidney capillary endothelial cell
Ehd4,capillary endothelial cell
Ehd4,endothelial cell
Ehd4,endothelial cell of vascular tree
Ehd4,kidney cortex artery cell
Ehd4,smooth muscle cell of the pulmonary artery
Ehd4,tracheobronchial smooth muscle cell
Ehd4,bronchial smooth muscle cell
Ehhadh,brush cell
Eif2ak3,pancreatic acinar cell
Eif2ak3,acinar cell
Eif4ebp2,urethra urothelial cell
Eif4ebp2,epithelial cell of urethra
Elavl1,skeletal muscle fiber
Elavl2,interneuron
Elavl2,cortical interneuron
Elavl2,cerebral cortex GABAergic interneuron
Elavl2,lamp5 GABAergic cortical interneuron
Elavl2,sncg GABAergic cortical interneuron
Elavl2,sst GABAergic cortical interneuron
Elavl2,sst chodl GABAergic cortical interneuron
Elavl2,pvalb GABAergic cortical interneuron
Elavl2,cerebellar Golgi cell
Elavl2,inhibitory interneuron
Elavl2,GABAergic neuron
Elavl4,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Elf3,intestinal crypt stem cell
Elf3,enterocyte
Elf3,enterocyte of epithelium of large intestine
Elf3,goblet cell
Elf3,intestine goblet cell
Elf3,large intestine goblet cell
Elf3,intestinal epithelial cell
Elf3,epithelial cell of large intestine
Elmo1,macrophage
Elmo1,central nervous system macrophage
Elmo1,microglial cell
Elmo1,oligodendrocyte
Elmo1,sst chodl GABAergic cortical interneuron
Elmo1,Purkinje cell
Eln,ciliated cell of the bronchus
Eln,vein endothelial cell
Eln,kidney afferent arteriole endothelial cell
Eln,bronchial epithelial cell
Eln,muscle cell
Eln,smooth muscle cell
Eln,vascular associated smooth muscle cell
Eln,aortic smooth muscle cell
Eln,smooth muscle cell of the pulmonary artery
Elovl1,epithelial cell of lung
Elovl1,epithelial cell of alveolus of lung
Elovl1,pneumocyte
Elovl1,type II pneumocyte
Elovl1,lung secretory cell
Emc6,club cell
Emilin1,hepatic stellate cell
Emilin1,stromal cell
Emilin1,stromal cell of ovary
Emilin1,interstitial cell of ovary
Emx1,kidney collecting duct epithelial cell
Emx1,kidney collecting duct principal cell
Emx1,renal principal cell
Emx1,kidney distal convoluted tubule epithelial cell
Emx1,kidney connecting tubule epithelial cell
Emx1,kidney collecting duct cell
Emx2,seminal vesicle glandular cell
Emx2,granulosa cell
Emx2,ovarian surface epithelial cell
Emx2,Cajal-Retzius cell
En1,skeletal muscle satellite cell
En1,muscle precursor cell
Enah,ependymal cell
Enah,hypendymal cell
Eng,blood vessel endothelial cell
Eng,endothelial cell of coronary artery
Eng,kidney efferent arteriole endothelial cell
Eng,fenestrated cell
Eng,glomerular endothelial cell
Eng,endothelial cell
Eng,endothelial cell of vascular tree
Eng,endothelial cell of sinusoid
Eng,endothelial cell of hepatic sinusoid
Eng,cardiac endothelial cell
Eng,endocardial cell
Eng,smooth muscle cell of the pulmonary artery
Eng,tracheobronchial smooth muscle cell
Eng,bronchial smooth muscle cell
Eno1,Sertoli cell
Eno1,mesothelial cell
Eno1,mesothelial cell of pleura
Eno1,mesothelial cell of visceral pleura
Eno1,skeletal muscle fiber
Eno2,sst chodl GABAergic cortical interneuron
Eno2,L5 extratelencephalic projecting glutamatergic cortical neuron
Enpp6,prostate gland microvascular endothelial cell
Enpp6,endocardial cell
Entpd1,phagocyte
Entpd1,macrophage
Entpd1,tissue-resident macrophage
Entpd1,central nervous system macrophage
Entpd1,microglial cell
Entpd1,professional antigen presenting cell
Entpd1,myeloid leukocyte
Eomes,alpha-beta T cell
Eomes,mature alpha-beta T cell
Eomes,"CD8-positive, alpha-beta T cell"
Eomes,mature NK T cell
Eomes,mature T cell
Eomes,innate lymphoid cell
Eomes,natural killer cell
Epas1,blood vessel endothelial cell
Epas1,vein endothelial cell
Epas1,endothelial stalk cell
Epas1,kidney afferent arteriole endothelial cell
Epas1,capillary endothelial cell
Epas1,basal epithelial cell of tracheobronchial tree
Epas1,endothelial cell
Epas1,endothelial cell of vascular tree
Epas1,kidney cortex artery cell
Epas1,smooth muscle cell of the pulmonary artery
Epas1,tracheobronchial smooth muscle cell
Epas1,bronchial smooth muscle cell
Epb41,kidney loop of Henle medullary thick ascending limb epithelial cell
Epb41,kidney loop of Henle cortical thick ascending limb epithelial cell
Epb41,kidney loop of Henle thin ascending limb epithelial cell
Epb41,erythrocyte
Epb41,granule cell
Epb41,cerebellar granule cell
Epb41l1,sncg GABAergic cortical interneuron
Epb41l2,renal alpha-intercalated cell
Epb41l2,phagocyte
Epb41l2,macrophage
Epb41l2,tissue-resident macrophage
Epb41l2,central nervous system macrophage
Epb41l2,microglial cell
Epb41l2,professional antigen presenting cell
Epb41l3,sst chodl GABAergic cortical interneuron
Epb42,erythrocyte
Epb42,erythroid lineage cell
Epcam,intestinal crypt stem cell
Epcam,enterocyte
Epcam,enterocyte of epithelium of large intestine
Epcam,pancreatic ductal cell
Epcam,luminal epithelial cell of mammary gland
Epcam,goblet cell
Epcam,intestine goblet cell
Epcam,large intestine goblet cell
Epcam,intestinal epithelial cell
Epcam,epithelial cell of large intestine
Epcam,mammary gland epithelial cell
Epha2,urothelial cell
Epha2,bladder urothelial cell
Epha2,basal epithelial cell of tracheobronchial tree
Epha2,bladder cell
Epha3,Cajal-Retzius cell
Epha4,glutamatergic neuron
Epha4,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron
Epha4,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Epha4,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Epha4,hippocampal neuron
Epha5,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Epha5,L6b glutamatergic cortical neuron
Epha7,hypendymal cell
Epha7,hippocampal neuron
Ephb1,cerebellar Golgi cell
Ephb1,medium spiny neuron
Ephb4,endocardial cell
Epor,erythrocyte
Epor,erythroid lineage cell
Eps15,Bergmann glial cell
Eps15,astrocyte of the cerebellum
Erbb4,neuron associated cell
Erbb4,neuron associated cell (sensu Vertebrata)
Erbb4,oligodendrocyte precursor cell
Erbb4,macroglial cell
Erbb4,astrocyte of the cerebellum
Erbb4,oligodendrocyte
Erbb4,interneuron
Erbb4,cortical interneuron
Erbb4,cerebral cortex GABAergic interneuron
Erbb4,lamp5 GABAergic cortical interneuron
Erbb4,sncg GABAergic cortical interneuron
Erbb4,vip GABAergic cortical interneuron
Erbb4,pvalb GABAergic cortical interneuron
Erbb4,inhibitory interneuron
Erbb4,GABAergic neuron
Erbb4,meis2 expressing cortical GABAergic cell
Erbin,oligodendrocyte
Erc2,hippocampal neuron
Ercc1,endothelial cell of coronary artery
Ercc1,cardiac endothelial cell
Erg,endothelial stalk cell
Erg,endothelial cell
Erg,endothelial cell of vascular tree
Ern2,goblet cell
Ern2,intestine goblet cell
Ern2,large intestine goblet cell
Erp44,late pro-B cell
Erp44,plasma cell
Esam,blood vessel endothelial cell
Esam,vein endothelial cell
Esam,vasa recta descending limb cell
Esam,endothelial cell of coronary artery
Esam,kidney efferent arteriole endothelial cell
Esam,endothelial cell of artery
Esam,kidney capillary endothelial cell
Esam,capillary endothelial cell
Esam,endothelial cell
Esam,endothelial cell of vascular tree
Esam,cardiac endothelial cell
Esam,smooth muscle cell of the pulmonary artery
Esam,tracheobronchial smooth muscle cell
Esam,bronchial smooth muscle cell
Espn,ovarian surface epithelial cell
Esrrg,renal intercalated cell
Esrrg,renal beta-intercalated cell
Esrrg,renal alpha-intercalated cell
Esrrg,macula densa epithelial cell
Esrrg,kidney loop of Henle ascending limb epithelial cell
Esrrg,kidney loop of Henle thick ascending limb epithelial cell
Esrrg,kidney loop of Henle medullary thick ascending limb epithelial cell
Esrrg,kidney loop of Henle cortical thick ascending limb epithelial cell
Esrrg,kidney loop of Henle thin ascending limb epithelial cell
Esrrg,kidney epithelial cell
Esrrg,kidney connecting tubule epithelial cell
Esrrg,kidney loop of Henle epithelial cell
Esrrg,kidney loop of Henle thin descending limb epithelial cell
Esrrg,kidney cell
Esyt2,endothelial stalk cell
Etnppl,astrocyte of the cerebellum
Ets1,T cell
Ets1,regulatory T cell
Ets1,immature T cell
Ets1,thymocyte
Ets1,double negative thymocyte
Ets2,luminal epithelial cell of mammary gland
Ets2,bladder urothelial cell
Ets2,mammary gland epithelial cell
Ets2,bladder cell
Etv1,pancreatic A cell
Etv1,pancreatic PP cell
Etv1,PP cell
Etv1,L5 extratelencephalic projecting glutamatergic cortical neuron
Etv1,granule cell
Etv1,cerebellar granule cell
Etv1,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Etv3,dendritic cell
Etv3,plasmacytoid dendritic cell
Etv3,CD141-positive myeloid dendritic cell
Etv3,conventional dendritic cell
Etv3,myeloid dendritic cell
Etv3,CD1c-positive myeloid dendritic cell
Etv5,type II pneumocyte
Etv5,lung secretory cell
Eva1a,kidney distal convoluted tubule epithelial cell
Evpl,squamous epithelial cell
Ewsr1,mesenchymal cell
Exoc3l2,fenestrated cell
Exoc3l2,glomerular endothelial cell
Exph5,granule cell
Exph5,cerebellar granule cell
Eya1,neuron associated cell (sensu Vertebrata)
Eya1,oligodendrocyte precursor cell
Eya1,leptomeningeal cell
Eya1,fibroblast
Eya2,basal epithelial cell of tracheobronchial tree
Eya2,leptomeningeal cell
Eya2,fibroblast
Ezh2,immature alpha-beta T cell
Ezh2,immature NK T cell
Ezh2,neural progenitor cell
Ezr,bladder urothelial cell
F11r,pancreatic ductal cell
F13a1,classical monocyte
F13a1,basophil
F13a1,myeloid leukocyte
F13a1,monocyte
F13a1,intermediate monocyte
F13a1,myeloid cell
F13a1,promonocyte
F13a1,myeloid lineage restricted progenitor cell
F13a1,chondrocyte
F2r,kidney capillary endothelial cell
F2r,fenestrated cell
F2r,endocardial cell
F2r,vascular leptomeningeal cell
F2r,fibroblast of lung
F2r,mesothelial fibroblast
F2rl1,duct epithelial cell
F2rl1,pancreatic ductal cell
F3,respiratory basal cell
F3,basal cell of epithelium of trachea
F3,pancreatic ductal cell
F3,luminal epithelial cell of mammary gland
F3,goblet cell
F3,respiratory goblet cell
F3,tracheal goblet cell
F3,basal cell of prostate epithelium
F3,respiratory epithelial cell
F3,epithelial cell of lower respiratory tract
F3,club cell
F3,basal epithelial cell of tracheobronchial tree
F3,mammary gland epithelial cell
F3,astrocyte
F3,astrocyte of the cerebellum
F8,squamous epithelial cell
F8,blood vessel endothelial cell
F8,endothelial cell of artery
F8,kidney capillary endothelial cell
F8,glomerular capillary endothelial cell
F8,capillary endothelial cell
F8,lung microvascular endothelial cell
F8,lung endothelial cell
F8,fenestrated cell
F8,glomerular endothelial cell
F8,endothelial cell
F8,endothelial cell of vascular tree
F8,endothelial cell of lymphatic vessel
F8,endothelial cell of sinusoid
F8,endothelial cell of hepatic sinusoid
F8,endothelial cell of pericentral hepatic sinusoid
F8,cardiac endothelial cell
Fabp3,kidney distal convoluted tubule epithelial cell
Fabp3,cardiac muscle cell
Fabp7,glioblast
Fabp7,ependymal cell
Fabp7,hypendymal cell
Fabp7,Kupffer cell
Fabp7,erythrocyte
Fabp7,neuron associated cell (sensu Vertebrata)
Fabp7,oligodendrocyte precursor cell
Fabp7,Schwann cell
Fabp7,vascular leptomeningeal cell
Fabp7,mesothelial fibroblast
Fabp7,neural progenitor cell
Fah,brush cell
Fam107b,eosinophil
Fam107b,mature B cell
Fam107b,naive B cell
Fam107b,Purkinje cell
Fam20a,neuron associated cell
Fam20a,glial cell
Fam20a,macroglial cell
Fam20a,astrocyte
Fam20a,astrocyte of the cerebellum
Fam210b,erythrocyte
Fam210b,enucleate erythrocyte
Fam210b,erythroid lineage cell
Fam214a,plasma cell
Fas,kidney efferent arteriole endothelial cell
Fas,kidney capillary endothelial cell
Fas,fenestrated cell
Fas,glomerular endothelial cell
Fas,kidney cortex artery cell
Fas,smooth muscle cell of the pulmonary artery
Fas,tracheobronchial smooth muscle cell
Fas,bronchial smooth muscle cell
Fas,skeletal muscle satellite cell
Fas,muscle precursor cell
Fasl,alpha-beta T cell
Fasl,mature alpha-beta T cell
Fasl,"CD4-positive, alpha-beta T cell"
Fasl,"CD8-positive, alpha-beta T cell"
Fasl,mature NK T cell
Fasl,innate lymphoid cell
Fasl,natural killer cell
Fasn,type II pneumocyte
Fasn,lung secretory cell
Fat1,Sertoli cell
Fat1,hypendymal cell
Fat4,stromal cell of ovary
Fat4,interstitial cell of ovary
Fbln1,connective tissue cell
Fbln1,fibroblast
Fbln1,fibroblast of cardiac tissue
Fbln1,fibroblast of connective tissue of prostate
Fbln1,stromal cell
Fbln1,stromal cell of ovary
Fbln1,interstitial cell of ovary
Fbln1,adventitial cell
Fbln2,mesenchymal stem cell of adipose tissue
Fbln2,Sertoli cell
Fbln2,vein endothelial cell
Fbln2,smooth muscle cell of the pulmonary artery
Fbln2,fibroblast of cardiac tissue
Fbn1,mesenchymal stem cell
Fbn1,mesenchymal stem cell of adipose tissue
Fbn1,connective tissue cell
Fbn1,fibroblast of cardiac tissue
Fbn1,fibroblast of connective tissue of prostate
Fbn1,stromal cell
Fbn1,adventitial cell
Fbxl12,immature T cell
Fbxl7,leptomeningeal cell
Fbxo32,basal epithelial cell of tracheobronchial tree
Fbxo32,smooth muscle cell of prostate
Fbxo5,thymocyte
Fbxw7,pyramidal neuron
Fbxw7,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Fbxw7,L5 extratelencephalic projecting glutamatergic cortical neuron
Fbxw7,glutamatergic neuron
Fbxw7,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron
Fbxw7,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Fbxw7,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Fcgr1,phagocyte
Fcgr1,macrophage
Fcgr1,tissue-resident macrophage
Fcgr1,Kupffer cell
Fcgr1,central nervous system macrophage
Fcgr1,microglial cell
Fcgr1,classical monocyte
Fcgr1,leukocyte
Fcgr1,professional antigen presenting cell
Fcgr1,myeloid leukocyte
Fcgr1,intermediate monocyte
Fcgr1,myeloid cell
Fcgr2b,endothelial cell of sinusoid
Fcgr2b,endothelial cell of hepatic sinusoid
Fcgr2b,phagocyte
Fcgr2b,macrophage
Fcgr2b,professional antigen presenting cell
Fcgr2b,dendritic cell
Fcgr2b,conventional dendritic cell
Fcgr3,phagocyte
Fcgr3,macrophage
Fcgr3,tissue-resident macrophage
Fcgr3,Kupffer cell
Fcgr3,central nervous system macrophage
Fcgr3,microglial cell
Fcgr3,classical monocyte
Fcgr3,hematopoietic cell
Fcgr3,eosinophil
Fcgr3,leukocyte
Fcgr3,professional antigen presenting cell
Fcgr3,mature B cell
Fcgr3,naive B cell
Fcgr3,myeloid leukocyte
Fcgr3,naive T cell
Fcgr3,myeloid cell
Fcgr3,proerythroblast
Fcgr4,Kupffer cell
Fcgr4,lung macrophage
Fcgr4,classical monocyte
Fcgr4,non-classical monocyte
Fcgr4,intermediate monocyte
Fcgr4,plasma cell
Fcgrt,mesenchymal stem cell of adipose tissue
Fcgrt,endothelial cell of sinusoid
Fcgrt,endothelial cell of hepatic sinusoid
Fcgrt,Kupffer cell
Fcmr,mononuclear cell
Fcmr,lymphocyte
Fcmr,B cell
Fcrls,phagocyte
Fcrls,macrophage
Fcrls,tissue-resident macrophage
Fcrls,central nervous system macrophage
Fcrls,microglial cell
Fcrls,hematopoietic cell
Fcrls,leukocyte
Fcrls,professional antigen presenting cell
Fcrls,plasmacytoid dendritic cell
Fcrls,CD141-positive myeloid dendritic cell
Fcrls,myeloid dendritic cell
Fcrls,myeloid leukocyte
Fcrls,myeloid cell
Fdx1,Leydig cell
Fen1,erythroblast
Fermt1,intestinal crypt stem cell
Fermt1,goblet cell
Fermt1,intestine goblet cell
Fermt1,large intestine goblet cell
Ffar2,megakaryocyte-erythroid progenitor cell
Ffar4,pancreatic D cell
Ffar4,PP cell
Fga,hepatocyte
Fgb,pancreatic A cell
Fgb,pancreatic PP cell
Fgb,PP cell
Fgb,hepatocyte
Fgf1,glomerular endothelial cell
Fgf12,neural cell
Fgf12,neuron
Fgf12,pvalb GABAergic cortical interneuron
Fgf12,meis2 expressing cortical GABAergic cell
Fgf18,muscle cell
Fgf18,smooth muscle cell
Fgf18,vascular associated smooth muscle cell
Fgf18,aortic smooth muscle cell
Fgf21,pancreatic acinar cell
Fgf21,acinar cell
Fgf5,Schwann cell
Fgf9,mesothelial cell of pleura
Fgf9,mesothelial cell of visceral pleura
Fgf9,kidney loop of Henle ascending limb epithelial cell
Fgf9,kidney loop of Henle thick ascending limb epithelial cell
