gene,cell_type
Adgrf5,squamous epithelial cell
Adgrf5,blood vessel endothelial cell
Adgrf5,vein endothelial cell
Adgrf5,vasa recta descending limb cell
Adgrf5,endothelial stalk cell
Adgrf5,kidney efferent arteriole endothelial cell
Adgrf5,endothelial cell of artery
Adgrf5,kidney capillary endothelial cell
Adgrf5,capillary endothelial cell
Adgrf5,prostate gland microvascular endothelial cell
Adgrf5,glomerular endothelial cell
Adgrf5,endothelial cell
Adgrf5,endothelial cell of vascular tree
Adgrg1,glioblast
Adgrg1,Sertoli cell
Adgrg6,vein endothelial cell
Adgrg6,sst chodl GABAergic cortical interneuron
Adgrl3,Bergmann glial cell
Adgrv1,ependymal cell
Adgrv1,hypendymal cell
Adgrv1,neural progenitor cell
Adh5,Sertoli cell
Adh5,mesothelial cell
Adh5,Leydig cell
Adipor1,enucleate erythrocyte
Adipor1,immature B cell
Adora1,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Adora1,corticothalamic-projecting glutamatergic cortical neuron
Adora1,L6 corticothalamic-projecting glutamatergic cortical neuron
Adora1,L6b glutamatergic cortical neuron
Adra1a,interneuron
Adra1a,cortical interneuron
Adra1a,lamp5 GABAergic cortical interneuron
Adra1a,sst chodl GABAergic cortical interneuron
Adra1a,inhibitory interneuron
Adra1a,GABAergic neuron
Adra1b,vip GABAergic cortical interneuron
Adrb1,tracheobronchial smooth muscle cell
Adrb1,bronchial smooth muscle cell
Adrb2,basal cell
Adrb2,stem cell of epidermis
Adrb2,basal epithelial cell of tracheobronchial tree
Adrb2,epidermal cell
Adrb2,tracheobronchial smooth muscle cell
Adrb2,bronchial smooth muscle cell
Ager,multi-ciliated epithelial cell
Ager,ciliated columnar cell of tracheobronchial tree
Ager,ciliated cell of the bronchus
Ager,epithelial cell of lung
Ager,epithelial cell of alveolus of lung
Ager,pneumocyte
Ager,type I pneumocyte
Ager,type II pneumocyte
Ager,respiratory epithelial cell
Ager,epithelial cell of lower respiratory tract
Ager,club cell
Ager,bronchial epithelial cell
Ager,enucleate erythrocyte
Ager,lung secretory cell
Agps,ciliated epithelial cell
Agps,columnar/cuboidal epithelial cell
Agrn,glioblast
Agrn,vascular leptomeningeal cell
Agrn,mesothelial fibroblast
Agrn,neural progenitor cell
Agrp,kidney glomerular epithelial cell
Agrp,podocyte
Agt,hepatocyte
Agt,muscle cell
Agt,smooth muscle cell
Agt,vascular associated smooth muscle cell
Agt,aortic smooth muscle cell
Agtr1a,luminal epithelial cell of mammary gland
Agtr1a,mammary gland epithelial cell
Agtr1a,hepatic stellate cell
Agtr1a,mesangial cell
Agtr2,stromal cell
Agtr2,stromal cell of ovary
Agtr2,interstitial cell of ovary
Ahi1,sst chodl GABAergic cortical interneuron
Ahr,basal epithelial cell of tracheobronchial tree
Aif1,phagocyte
Aif1,macrophage
Aif1,tissue-resident macrophage
Aif1,Kupffer cell
Aif1,central nervous system macrophage
Aif1,microglial cell
Aif1,lung macrophage
Aif1,hematopoietic cell
Aif1,leukocyte
Aif1,professional antigen presenting cell
