gene,cell_state
MKI67,Proliferation
MYC,Proliferation
CDK6,Proliferation
CENPF,Proliferation
CDK1,Proliferation
KIT,Proliferation
MMP9,Migration
MMP12,Migration
CTSB,Migration
CTSS,Migration
CTSL,Migration
CTSD,Migration
ADAMTS1,Migration
VEGFA,Angiogenesis
FLT1,Angiogenesis
FGF2,Angiogenesis
CXCL1,Angiogenesis
CXCL2,Angiogenesis
HIF1A,Hypoxia
CXCR4,Hypoxia
